iso_year,iso_week,week_start,week_end,oblast_drones,nationwide_drones_war_monitor,nationwide_drones_vanek_nikolaev,genstab_launched
2026,1,2025-12-29,2026-01-04,20,65,66,468
2026,2,2026-01-05,2026-01-11,115,161,253,935
2026,3,2026-01-12,2026-01-18,101,126,138,1036
2026,4,2026-01-19,2026-01-25,84,203,154,1253
2026,5,2026-01-26,2026-02-01,45,108,71,840
2026,6,2026-02-02,2026-02-08,77,272,208,1746
2026,7,2026-02-09,2026-02-15,59,199,79,971
2026,8,2026-02-16,2026-02-22,37,229,220,1166
2026,9,2026-02-23,2026-03-01,26,96,125,1209
2026,10,2026-03-02,2026-03-08,17,188,187,1272
2026,11,2026-03-09,2026-03-15,65,68,114,1180
2026,12,2026-03-16,2026-03-22,28,148,149,1118
2026,13,2026-03-23,2026-03-29,50,169,115,1760
2026,14,2026-03-30,2026-04-05,76,139,189,1343
2026,15,2026-04-06,2026-04-12,17,85,82,834
2026,16,2026-04-13,2026-04-19,54,218,219,1739
2026,17,2026-04-20,2026-04-26,45,150,127,1525
2026,18,2026-04-27,2026-05-03,73,183,180,1235
2026,19,2026-05-04,2026-05-10,11,36,25,639
2026,20,2026-05-11,2026-05-17,177,215,212,1752
2026,21,2026-05-18,2026-05-24,69,174,150,1851
2026,22,2026-05-25,2026-05-31,91,83,69,1445
2026,23,2026-06-01,2026-06-07,83,162,158,2136
2026,24,2026-06-08,2026-06-14,38,71,98,1082
2026,25,2026-06-15,2026-06-21,112,99,50,1395
2026,26,2026-06-22,2026-06-28,17,36,53,874
2026,27,2026-06-29,2026-07-05,47,109,82,1225
2026,28,2026-07-06,2026-07-12,87,157,51,1110
2026,29,2026-07-13,2026-07-19,29,101,82,882
2026,30,2026-07-20,2026-07-26,39,90,28,1009
2026,31,2026-07-27,2026-08-02,62,77,112,1215
2026,32,2026-08-03,2026-08-09,85,84,67,1033
2026,33,2026-08-10,2026-08-16,51,154,64,775
2026,34,2026-08-17,2026-08-23,75,120,65,989
2026,35,2026-08-24,2026-08-30,119,182,76,1274
2026,36,2026-08-31,2026-09-06,194,93,18,392
