iso_year,iso_week,week_start,week_end,drones,n_windows,n_unknown
2026,1,2025-12-29,2026-01-04,3,4,1
2026,2,2026-01-05,2026-01-11,82,9,3
2026,3,2026-01-12,2026-01-18,59,22,4
2026,4,2026-01-19,2026-01-25,67,20,4
2026,5,2026-01-26,2026-02-01,9,4,1
2026,6,2026-02-02,2026-02-08,55,13,1
2026,7,2026-02-09,2026-02-15,33,12,2
2026,8,2026-02-16,2026-02-22,32,8,2
2026,9,2026-02-23,2026-03-01,18,8,2
2026,10,2026-03-02,2026-03-08,8,5,2
2026,11,2026-03-09,2026-03-15,64,6,2
2026,12,2026-03-16,2026-03-22,17,11,0
2026,13,2026-03-23,2026-03-29,26,9,1
2026,14,2026-03-30,2026-04-05,39,15,9
2026,15,2026-04-06,2026-04-12,7,5,0
2026,16,2026-04-13,2026-04-19,30,8,2
2026,17,2026-04-20,2026-04-26,29,9,2
2026,18,2026-04-27,2026-05-03,23,10,2
2026,19,2026-05-04,2026-05-10,9,9,2
2026,20,2026-05-11,2026-05-17,99,18,4
2026,21,2026-05-18,2026-05-24,53,12,0
2026,22,2026-05-25,2026-05-31,6,14,6
2026,23,2026-06-01,2026-06-07,55,16,3
2026,24,2026-06-08,2026-06-14,5,6,1
2026,25,2026-06-15,2026-06-21,100,11,2
2026,26,2026-06-22,2026-06-28,5,12,8
2026,27,2026-06-29,2026-07-05,30,6,1
2026,28,2026-07-06,2026-07-12,54,13,1
2026,29,2026-07-13,2026-07-19,7,14,4
2026,30,2026-07-20,2026-07-26,9,16,6
2026,31,2026-07-27,2026-08-02,47,17,4
2026,32,2026-08-03,2026-08-09,53,14,3
2026,33,2026-08-10,2026-08-16,42,15,4
2026,34,2026-08-17,2026-08-23,56,24,3
2026,35,2026-08-24,2026-08-30,116,50,1
2026,36,2026-08-31,2026-09-06,69,29,2
